,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
2001,2001,A,116.83,material_7,material_8,9,5,7,5,11,18.708,11.439,16.916,16.26,10.755,18.56,12.099,14.292,18.397,13.828,14.664,14.444,13.454,15.007,590.168,0
2003,2003,A,140.82,material_7,material_8,9,5,8,6,6,18.196,12.477,18.421,15.535,12.077,19.188,10.42,16.325,20.285,9.301,16.296,18.08,14.838,14.221,758.059,0
2007,2007,A,81.1,material_7,material_8,9,5,12,2,9,18.296,12.484,16.709,16.95,11.295,20.135,12.044,15.162,21.731,11.787,14.472,18.639,13.815,13.843,747.318,0
2009,2009,A,130.08,material_7,material_8,9,5,13,3,7,18.003,12.261,15.978,16.818,12.611,18.178,12.314,16.573,19.192,10.231,17.54,13.591,14.229,15.941,578.284,0
2013,2013,A,156.1,material_7,material_8,9,5,12,2,3,17.325,12.022,16.41,17.714,12.969,17.699,11.376,15.629,19.664,13.093,17.181,16.667,14.196,17.877,595.863,0
2014,2014,A,156.79,material_7,material_8,9,5,13,2,6,17.66,11.791,16.75,17.185,10.559,15.756,10.474,16.198,20.792,12.549,13.265,16.663,14.551,17.615,388.421,0
2017,2017,A,138.38,material_7,material_8,9,5,9,5,5,18.749,13.516,17.074,17.624,11.622,19.115,12.632,14.028,16.108,11.467,15.51,15.607,16.049,16.007,730.636,1
2018,2018,A,132.76,material_7,material_8,9,5,10,0,0,19.334,10.933,17.379,16.078,9.742,19.071,10.652,16.543,19.95,9.829,15.331,17.501,15.378,14.567,618.936,0
2020,2020,A,133.28,material_7,material_8,9,5,3,3,7,18.112,12.391,16.559,17.274,10.701,20.267,10.387,15.432,20.295,14.641,16.286,15.549,13.014,18.298,740.352,0
2022,2022,A,121.0,material_7,material_8,9,5,18,4,1,18.06,10.101,17.703,18.501,10.839,20.437,11.789,16.665,17.577,13.525,13.573,13.71,13.786,17.856,824.257,1
2023,2023,A,127.04,material_7,material_8,9,5,10,9,8,17.465,11.555,16.596,18.018,10.467,19.658,10.945,16.909,21.019,12.961,15.904,19.801,15.406,17.629,697.47,0
2024,2024,A,60.74,material_7,material_8,9,5,3,4,6,19.322,12.226,17.142,18.805,12.062,18.783,10.664,16.653,19.323,11.534,14.562,14.176,13.532,17.342,732.721,0
2025,2025,A,91.71,material_7,material_8,9,5,7,1,4,16.343,11.765,17.855,17.07,12.637,17.556,13.07,16.518,19.553,11.286,15.088,15.819,14.713,18.821,642.072,0
2028,2028,A,144.61,material_7,material_8,9,5,1,8,6,17.598,11.26,18.281,18.835,10.236,18.589,13.299,17.121,19.841,14.107,15.249,18.12,13.719,19.376,726.742,1
2031,2031,A,129.79,material_7,material_8,9,5,11,3,5,18.448,11.144,16.7,18.176,11.787,18.836,11.494,17.189,21.14,12.631,16.183,14.424,15.92,17.617,671.061,1
2032,2032,A,121.39,material_7,material_8,9,5,10,9,12,18.581,11.571,15.643,16.965,11.71,18.256,11.129,16.978,20.701,10.852,15.939,14.334,15.305,15.87,534.24,0
2033,2033,A,85.23,material_7,material_8,9,5,9,0,2,20.35,10.788,16.309,18.003,11.98,18.039,10.92,17.426,22.685,8.984,16.09,15.071,17.102,14.813,581.488,0
2036,2036,A,171.41,material_7,material_8,9,5,10,8,6,17.493,10.13,18.218,17.203,13.868,19.542,11.443,16.342,20.427,11.98,17.81,17.438,12.492,16.518,828.162,0
2037,2037,A,78.52,material_7,material_8,9,5,20,9,6,17.675,10.456,18.873,15.916,11.524,18.695,10.758,16.724,19.498,13.143,13.861,17.139,13.642,14.52,712.993,0
2042,2042,A,113.31,material_7,material_8,9,5,17,5,4,18.608,10.733,18.281,18.377,12.028,20.176,11.617,16.583,20.347,10.842,14.623,14.602,15.712,15.323,875.93,0
2044,2044,A,125.5,material_7,material_8,9,5,6,7,8,19.641,12.08,17.81,16.258,10.84,17.377,12.763,14.469,19.937,12.638,14.153,16.896,14.876,14.907,563.213,0
2045,2045,A,127.37,material_7,material_8,9,5,3,1,7,19.468,12.184,16.546,18.133,12.733,19.777,11.484,16.288,19.012,10.405,16.109,15.624,16.759,15.054,772.2,0
2046,2046,A,99.93,material_7,material_8,9,5,8,2,7,17.285,11.622,17.788,16.407,9.903,18.684,11.648,16.778,22.422,14.086,14.931,15.064,14.465,19.025,636.72,0
2048,2048,A,126.67,material_7,material_8,9,5,13,6,7,17.915,11.534,19.489,17.734,11.376,18.057,9.796,16.268,18.253,11.236,15.854,16.679,13.176,14.402,761.581,0
2053,2053,A,139.38,material_7,material_8,9,5,6,5,7,18.676,11.958,15.952,17.891,12.902,20.006,11.024,16.852,18.511,13.403,15.398,15.411,15.064,17.656,749.452,0
2054,2054,A,86.78,material_7,material_8,9,5,12,3,5,18.867,12.563,17.771,16.649,10.946,17.957,11.443,16.251,18.171,14.104,16.651,14.695,14.144,16.104,626.783,0
2055,2055,A,210.71,material_7,material_8,9,5,18,0,1,16.846,11.095,18.046,16.232,12.556,20.675,12.849,14.538,19.013,12.814,15.125,14.998,13.646,14.106,860.364,0
2057,2057,A,126.14,material_7,material_8,9,5,13,6,3,19.175,12.07,17.81,16.774,12.68,18.487,10.942,14.594,21.248,11.848,17.548,16.221,13.476,16.276,708.889,0
2059,2059,A,75.08,material_7,material_8,9,5,9,8,11,16.919,11.696,17.078,16.422,11.642,18.8,11.696,16.891,20.215,9.606,14.882,17.576,13.946,14.297,647.419,1
2063,2063,A,77.36,material_7,material_8,9,5,11,4,12,16.361,11.254,17.971,17.389,11.916,21.338,12.406,17.145,20.954,12.389,15.338,15.613,13.084,16.406,924.901,0
2067,2067,A,115.18,material_7,material_8,9,5,11,3,3,19.209,12.274,18.81,16.049,10.356,17.326,10.8,15.91,17.596,11.62,16.298,16.734,14.665,19.248,604.433,1
2071,2071,A,302.9,material_7,material_8,9,5,17,8,2,17.143,12.06,15.697,16.431,11.255,20.564,12.442,15.872,20.222,10.501,16.445,15.513,16.486,17.131,698.755,1
2072,2072,A,186.74,material_7,material_8,9,5,13,4,6,19.117,11.522,17.115,17.476,11.141,17.39,10.642,15.898,20.542,13.109,16.112,16.537,12.417,16.062,554.575,1
2073,2073,A,131.03,material_7,material_8,9,5,5,12,11,17.922,11.487,16.311,19.044,11.853,19.537,11.859,16.551,18.188,13.923,16.558,15.236,13.221,14.357,731.953,0
2075,2075,A,117.79,material_7,material_8,9,5,20,7,2,17.257,11.331,16.427,17.693,12.573,19.82,11.136,16.122,20.57,13.978,17.546,16.812,16.283,20.074,741.31,0
2076,2076,A,83.8,material_7,material_8,9,5,8,6,9,16.793,12.397,16.561,15.949,12.825,19.661,12.232,15.609,20.78,12.673,15.411,18.343,15.058,16.891,712.229,0
2079,2079,A,90.29,material_7,material_8,9,5,11,0,1,16.658,12.9,17.501,16.282,9.481,18.171,11.529,17.404,19.088,12.282,17.503,14.99,14.322,17.674,584.958,0
2081,2081,A,185.16,material_7,material_8,9,5,15,6,3,17.578,12.84,17.004,17.59,12.69,19.246,12.735,15.266,20.084,13.203,16.872,16.858,12.96,11.915,753.201,1
2082,2082,A,100.06,material_7,material_8,9,5,13,2,6,16.682,12.07,18.671,17.671,11.286,18.045,12.118,15.558,19.976,13.116,13.675,17.806,12.568,14.754,714.848,0
2084,2084,A,87.63,material_7,material_8,9,5,5,4,4,16.135,11.27,17.084,19.188,12.554,19.384,11.916,15.276,21.22,11.261,16.303,14.818,15.788,18.638,784.665,0
2085,2085,A,107.18,material_7,material_8,9,5,25,1,3,18.485,12.528,17.333,17.515,13.097,18.167,11.282,18.195,18.049,12.697,14.156,14.11,13.756,18.349,693.105,0
2087,2087,A,130.51,material_7,material_8,9,5,9,5,8,16.464,12.892,17.348,17.402,13.351,17.284,11.362,17.468,20.04,12.908,15.877,15.994,15.218,15.515,633.825,0
2088,2088,A,100.01,material_7,material_8,9,5,14,2,4,18.227,11.655,16.456,18.69,11.447,20.196,12.241,15.669,18.526,12.546,16.02,15.764,14.337,16.564,774.584,0
2091,2091,A,119.45,material_7,material_8,9,5,12,2,2,19.261,10.664,16.419,17.735,13.88,18.839,12.395,15.13,19.717,10.59,15.015,12.628,12.85,18.131,688.277,0
2094,2094,A,141.79,material_7,material_8,9,5,8,1,6,19.987,11.808,14.629,18.097,10.969,17.029,10.679,16.534,21.366,10.053,14.591,15.517,15.863,14.991,395.231,0
2096,2096,A,139.13,material_7,material_8,9,5,10,7,4,17.265,12.404,16.755,17.569,12.707,19.073,11.636,16.211,18.838,13.944,16.065,15.877,12.609,15.869,718.433,0
2098,2098,A,130.96,material_7,material_8,9,5,14,6,8,18.214,11.817,17.778,19.885,10.798,20.536,10.178,16.608,16.823,13.071,16.369,15.559,14.299,14.295,897.017,0
2099,2099,A,122.33,material_7,material_8,9,5,3,7,8,19.716,11.147,16.992,19.074,11.769,18.658,10.388,17.485,20.42,11.729,15.276,17.189,13.003,16.262,698.377,1
2100,2100,A,142.86,material_7,material_8,9,5,4,4,12,17.927,11.727,17.162,17.7,10.722,18.217,11.48,17.014,21.75,11.716,13.666,15.711,17.333,16.115,619.538,0
2104,2104,A,132.94,material_7,material_8,9,5,5,3,7,19.439,11.105,16.284,17.368,11.696,19.839,11.578,15.944,19.442,9.462,16.148,18.052,15.276,13.977,698.881,1
2108,2108,A,104.43,material_7,material_8,9,5,12,7,3,18.017,11.735,17.595,18.075,12.77,19.922,11.094,16.516,19.105,9.481,15.006,16.847,17.728,16.485,840.129,0
2110,2110,A,138.62,material_7,material_8,9,5,3,1,4,17.85,11.904,16.96,17.873,13.691,19.856,12.435,15.433,17.751,13.393,16.58,14.621,12.902,16.408,816.069,0
2112,2112,A,150.59,material_7,material_8,9,5,12,3,4,18.68,11.407,15.942,18.52,10.547,18.592,10.414,17.096,19.16,11.118,15.111,15.348,13.729,17.693,589.241,0
2113,2113,A,152.08,material_7,material_8,9,5,18,4,6,18.849,12.168,16.357,18.014,13.483,19.62,11.88,16.512,20.267,13.176,14.059,13.581,13.705,16.615,764.86,0
2117,2117,A,246.8,material_7,material_8,9,5,8,3,0,16.876,11.07,17.275,18.017,12.114,19.791,9.605,14.915,18.041,12.686,15.04,14.588,12.038,16.038,782.93,1
2120,2120,A,177.41,material_7,material_8,9,5,21,7,5,17.475,11.26,16.841,18.073,12.643,17.693,12.837,15.892,18.972,12.677,16.324,15.634,15.391,18.602,611.269,0
2121,2121,A,231.12,material_7,material_8,9,5,12,2,1,19.581,11.973,16.613,16.723,12.332,19.976,9.919,15.86,17.423,15.101,16.786,14.12,14.794,16.968,741.921,1
2127,2127,A,161.48,material_7,material_8,9,5,9,4,6,17.477,11.501,18.616,16.423,10.234,19.364,10.627,15.516,19.653,11.259,16.044,13.335,14.2,16.852,745.87,0
2129,2129,A,96.64,material_7,material_8,9,5,15,1,3,18.466,12.932,17.047,16.96,11.124,16.738,11.83,16.254,19.847,12.826,16.871,16.53,13.597,13.085,507.12,0
2130,2130,A,196.05,material_7,material_8,9,5,14,4,3,17.812,10.318,16.766,16.837,11.755,19.613,12.178,16.517,20.951,13.747,14.23,15.138,12.751,17.117,685.976,0
2132,2132,A,160.0,material_7,material_8,9,5,17,2,1,18.102,11.985,14.774,18.247,12.485,18.335,12.731,15.72,20.84,12.186,15.551,18.047,13.92,16.606,549.14,0
2133,2133,A,107.5,material_7,material_8,9,5,10,5,3,17.94,12.875,16.037,18.495,11.696,19.389,11.415,17.014,19.588,11.321,14.778,13.803,14.744,17.473,706.339,0
2135,2135,A,120.58,material_7,material_8,9,5,15,6,7,17.658,12.062,17.427,16.065,12.336,18.192,12.205,15.341,16.804,13.177,15.965,17.239,15.019,19.113,635.625,0
2136,2136,A,116.87,material_7,material_8,9,5,12,3,6,17.097,12.943,15.531,17.368,10.599,20.13,12.866,16.526,21.237,10.775,16.409,18.186,13.41,15.257,677.29,1
2140,2140,A,62.01,material_7,material_8,9,5,14,3,1,16.44,11.079,16.275,18.478,12.76,18.928,10.614,15.448,15.552,8.693,15.544,17.777,17.986,17.924,684.331,0
2142,2142,A,118.71,material_7,material_8,9,5,6,6,10,17.116,10.955,16.268,18.186,11.861,20.024,11.114,15.317,20.203,11.793,14.554,16.627,12.116,14.348,736.71,1
2143,2143,A,169.44,material_7,material_8,9,5,9,4,4,17.805,11.803,18.978,16.253,12.439,18.844,11.854,14.876,18.007,12.224,14.552,14.228,14.532,15.439,782.49,1
2144,2144,A,110.92,material_7,material_8,9,5,9,4,6,17.839,10.974,19.097,17.699,11.685,18.92,10.882,16.775,19.505,13.116,14.655,16.651,14.563,17.772,802.547,0
2145,2145,A,89.79,material_7,material_8,9,5,6,4,6,19.721,11.525,17.192,16.135,10.806,18.503,11.35,17.941,20.981,10.687,17.346,14.43,15.268,17.708,601.34,0
2146,2146,A,185.84,material_7,material_8,9,5,9,1,2,16.184,12.538,18.23,16.171,11.235,19.931,12.336,17.587,21.103,11.867,14.399,17.414,14.731,13.521,800.982,0
2147,2147,A,125.86,material_7,material_8,9,5,8,2,6,18.331,11.513,17.554,18.784,11.163,18.898,10.737,14.302,17.988,12.964,17.588,15.955,15.751,19.481,733.124,1
2150,2150,A,192.76,material_7,material_8,9,5,8,4,5,15.753,11.471,16.773,18.391,11.484,19.689,12.422,15.99,17.365,11.944,15.062,16.123,14.334,19.395,744.748,0
2151,2151,A,168.02,material_7,material_8,9,5,11,4,4,16.928,11.088,17.695,18.647,11.154,19.652,11.618,15.851,19.276,11.319,17.93,14.256,14.072,18.487,789.678,0
2152,2152,A,95.23,material_7,material_8,9,5,14,2,1,16.502,11.646,17.407,17.826,11.277,21.001,11.379,17.547,18.162,13.926,15.49,15.248,14.975,17.179,865.924,0
2154,2154,A,149.73,material_7,material_8,9,5,14,3,2,17.332,12.266,16.94,16.989,12.12,19.958,12.616,16.755,22.938,13.978,18.978,15.488,14.916,18.446,766.056,0
2157,2157,A,243.41,material_7,material_8,9,5,12,3,4,19.009,11.868,16.474,17.501,13.507,17.825,10.678,14.524,20.219,11.085,15.759,15.596,10.602,15.739,615.399,1
2158,2158,A,71.83,material_7,material_8,9,5,6,4,11,18.073,11.464,16.166,18.307,12.767,17.864,11.345,16.149,18.283,14.711,16.619,16.448,13.735,15.325,597.151,0
2159,2159,A,80.33,material_7,material_8,9,5,8,1,12,19.665,12.155,16.333,18.301,10.979,17.752,11.304,16.563,21.161,14.154,14.478,17.479,14.88,18.282,562.614,0
2163,2163,A,265.42,material_7,material_8,9,5,13,2,2,17.158,12.138,16.285,17.793,12.085,20.074,11.408,17.978,15.607,10.654,16.607,14.987,17.858,16.439,753.399,0
2164,2164,A,146.97,material_7,material_8,9,5,18,8,6,18.848,10.711,18.228,17.752,11.262,17.72,11.625,15.393,18.416,13.423,15.081,14.773,14.69,17.22,645.735,1
2166,2166,A,212.47,material_7,material_8,9,5,13,5,5,17.021,11.342,17.632,16.07,11.661,17.854,13.365,16.337,20.626,12.511,14.919,16.569,12.386,16.769,594.428,0
2167,2167,A,138.22,material_7,material_8,9,5,6,13,10,17.857,11.771,18.445,17.458,12.427,20.557,12.506,17.164,18.221,11.756,14.964,14.291,13.456,18.24,915.073,0
2168,2168,A,121.01,material_7,material_8,9,5,6,0,5,17.328,11.194,17.169,16.27,11.405,18.294,12.838,15.396,19.557,11.12,14.988,15.694,16.702,18.398,597.909,1
2169,2169,A,162.28,material_7,material_8,9,5,10,6,6,17.685,11.786,17.683,18.073,9.622,19.385,11.724,16.897,18.209,9.443,15.906,17.329,18.191,16.093,724.407,0
2171,2171,A,121.07,material_7,material_8,9,5,6,1,4,18.436,11.694,18.857,19.166,12.782,18.245,10.397,15.787,22.274,11.481,15.542,17.368,13.954,16.596,813.582,0
2173,2173,A,154.37,material_7,material_8,9,5,7,1,6,18.097,11.922,17.226,17.797,11.253,19.692,12.657,15.257,19.777,11.456,15.494,12.753,13.283,18.449,756.302,0
2175,2175,A,132.36,material_7,material_8,9,5,11,0,2,17.556,11.881,18.178,16.849,13.328,17.196,12.704,14.57,19.263,13.19,13.844,17.624,12.699,17.251,646.564,0
2176,2176,A,74.02,material_7,material_8,9,5,10,2,3,18.759,11.911,17.519,17.615,12.587,19.127,12.273,15.536,17.598,10.698,16.367,17.511,14.8,16.348,759.114,0
2177,2177,A,104.65,material_7,material_8,9,5,8,5,7,18.982,11.487,19.098,17.962,10.739,19.435,10.986,16.508,20.607,14.845,15.548,14.086,11.081,13.037,833.273,0
2182,2182,A,116.97,material_7,material_8,9,5,3,7,10,16.027,10.129,15.915,17.084,12.494,16.799,11.132,15.863,19.986,12.998,14.2,17.716,13.057,16.501,439.504,0
2183,2183,A,88.13,material_7,material_8,9,5,6,10,8,18.08,12.671,16.578,17.0,12.806,18.857,9.961,18.735,19.515,13.585,14.997,14.575,11.796,12.921,682.352,0
2184,2184,A,112.3,material_7,material_8,9,5,6,7,1,16.189,11.33,16.926,18.492,11.021,18.985,12.023,14.217,17.119,12.858,16.28,16.011,14.111,18.14,689.143,0
2190,2190,A,166.28,material_7,material_8,9,5,5,2,7,17.887,12.993,16.213,17.982,10.791,19.49,9.732,17.449,18.674,12.607,15.562,15.162,13.902,16.057,691.049,1
2191,2191,A,128.59,material_7,material_8,9,5,11,0,2,16.332,13.085,17.469,17.872,11.232,18.021,11.61,14.744,21.787,9.353,16.116,17.584,15.18,14.88,661.069,1
2194,2194,A,100.03,material_7,material_8,9,5,12,2,3,16.76,11.024,16.404,17.897,12.257,19.409,11.312,15.713,19.077,10.265,14.931,18.436,14.569,14.68,700.06,0
2195,2195,A,178.84,material_7,material_8,9,5,5,1,1,15.958,11.236,17.469,19.207,11.828,19.66,11.375,15.598,17.663,14.44,16.31,15.182,12.213,15.274,810.43,0
2198,2198,A,107.28,material_7,material_8,9,5,19,4,12,15.337,11.808,17.475,15.968,11.35,19.674,10.986,16.559,20.994,10.846,15.072,17.965,13.403,15.505,721.385,0
2199,2199,A,115.62,material_7,material_8,9,5,8,4,10,17.878,11.157,18.63,18.193,12.281,20.114,10.606,16.376,15.867,11.918,14.87,15.72,15.313,14.803,898.334,0
2200,2200,A,152.7,material_7,material_8,9,5,7,8,9,16.783,12.889,14.218,17.26,11.778,18.553,11.197,17.539,21.791,15.132,17.63,14.673,11.113,16.289,501.966,0
2201,2201,A,85.38,material_7,material_8,9,5,12,5,2,17.134,10.488,18.321,17.717,12.344,19.382,8.669,15.623,18.221,12.598,16.158,15.772,14.523,16.834,802.096,0
2204,2204,A,100.89,material_7,material_8,9,5,8,5,8,17.92,11.113,17.745,18.33,12.277,18.387,11.422,15.912,20.99,10.815,16.802,18.926,12.07,14.802,714.601,1
2205,2205,A,93.36,material_7,material_8,9,5,8,11,6,19.263,12.487,16.894,18.858,11.365,17.954,11.761,16.496,20.72,12.571,16.158,16.89,15.842,14.863,641.482,0
2206,2206,A,138.48,material_7,material_8,9,5,14,4,5,16.861,12.093,16.681,15.894,13.295,20.151,11.221,13.983,20.35,12.304,16.385,17.314,14.812,17.417,762.748,0
2209,2209,A,124.62,material_7,material_8,9,5,14,2,1,16.367,12.899,15.876,16.881,9.642,20.077,11.81,14.919,21.952,15.123,16.053,13.716,11.346,16.39,656.93,0
2210,2210,A,72.06,material_7,material_8,9,5,12,4,9,16.568,12.608,17.128,18.521,11.338,20.63,11.735,15.455,17.538,15.018,16.884,15.274,13.699,16.979,855.139,0
2212,2212,A,127.33,material_7,material_8,9,5,8,3,6,16.829,10.342,18.936,17.006,11.612,18.376,12.303,16.663,20.01,13.274,15.248,16.584,15.387,16.45,722.057,0
2213,2213,A,133.89,material_7,material_8,9,5,7,6,4,15.778,13.017,18.187,17.592,11.624,19.436,11.694,17.213,20.303,10.348,15.137,16.946,14.947,15.055,814.145,0
2215,2215,A,148.12,material_7,material_8,9,5,13,1,5,16.165,12.537,19.09,17.811,10.812,19.02,11.355,16.008,17.655,9.956,13.896,15.804,15.454,13.892,814.626,0
2217,2217,A,122.97,material_7,material_8,9,5,11,4,5,17.996,10.952,18.205,17.23,12.799,19.18,11.48,16.719,21.788,13.067,16.609,17.579,14.73,18.114,785.787,0
2218,2218,A,184.92,material_7,material_8,9,5,4,5,9,16.906,12.377,16.472,17.822,10.968,18.921,12.298,16.386,18.815,9.454,17.945,17.388,18.024,18.545,652.354,0
2223,2223,A,253.92,material_7,material_8,9,5,11,5,5,17.794,12.267,17.532,17.601,11.495,19.251,11.366,16.21,17.188,13.058,15.234,15.362,13.679,16.8,746.518,1
2225,2225,A,145.59,material_7,material_8,9,5,5,0,8,17.914,11.011,18.106,16.961,11.75,19.731,10.943,16.916,18.252,13.507,14.368,15.555,12.061,14.072,789.407,0
2226,2226,A,86.87,material_7,material_8,9,5,9,2,2,18.51,11.902,16.626,16.125,11.264,19.629,11.404,16.173,18.65,13.539,14.531,15.013,14.647,16.734,670.747,0
2227,2227,A,93.39,material_7,material_8,9,5,4,9,13,17.298,12.961,18.981,17.333,11.942,17.104,9.151,15.829,19.097,9.787,14.633,13.21,13.757,14.445,682.616,0
2228,2228,A,87.0,material_7,material_8,9,5,13,7,4,17.42,12.874,16.497,17.912,12.911,19.1,11.928,16.327,18.771,10.161,15.115,13.608,13.952,17.095,726.146,0
2230,2230,A,98.34,material_7,material_8,9,5,2,3,8,19.336,12.984,17.201,16.928,10.934,19.021,12.13,15.385,20.309,10.362,17.772,14.625,15.581,14.875,688.07,0
2235,2235,A,133.91,material_7,material_8,9,5,18,6,1,18.405,11.101,15.775,17.363,10.942,18.357,12.746,17.084,18.311,13.954,15.071,15.762,14.083,16.837,535.288,0
2236,2236,A,168.01,material_7,material_8,9,5,10,6,0,18.469,13.935,15.1,17.485,11.689,21.017,11.575,16.843,21.649,11.838,17.266,17.798,14.827,17.064,765.839,0
2237,2237,A,176.54,material_7,material_8,9,5,11,3,5,18.443,10.834,16.834,17.796,12.212,19.157,12.237,14.956,21.192,13.822,13.757,16.674,15.912,18.916,699.063,0
2238,2238,A,101.89,material_7,material_8,9,5,13,5,2,17.501,12.789,18.625,17.314,12.345,18.875,12.006,16.75,20.224,12.34,14.768,16.532,16.433,17.68,804.696,1
2239,2239,A,106.21,material_7,material_8,9,5,8,4,8,20.077,11.743,17.772,17.188,10.323,19.872,12.306,15.02,20.085,11.629,16.697,13.955,15.108,16.93,761.396,0
2240,2240,A,72.76,material_7,material_8,9,5,10,4,2,17.366,11.439,15.621,17.537,10.606,17.187,11.195,14.637,21.869,9.905,16.185,17.304,12.207,16.673,437.079,1
2242,2242,A,175.63,material_7,material_8,9,5,6,6,7,18.937,10.28,17.02,15.27,11.24,19.835,13.018,16.162,20.149,12.887,14.709,17.424,15.619,17.132,663.618,1
2243,2243,A,135.31,material_7,material_8,9,5,15,4,10,17.502,11.883,15.658,19.092,13.096,18.24,9.799,14.652,19.85,12.617,14.673,16.845,13.6,13.724,631.087,0
2244,2244,A,119.32,material_7,material_8,9,5,8,2,5,18.304,11.179,17.122,18.852,12.131,17.969,10.854,15.527,16.812,13.653,16.079,17.699,12.299,17.029,655.988,0
2245,2245,A,109.73,material_7,material_8,9,5,13,1,2,18.028,13.382,16.339,15.607,11.705,19.562,11.471,16.158,22.49,11.704,16.001,17.884,13.652,17.103,669.309,0
2249,2249,A,188.24,material_7,material_8,9,5,20,4,5,16.223,12.239,19.442,16.805,10.957,17.262,13.009,17.243,22.627,10.102,14.659,17.145,16.136,16.322,671.198,0
2250,2250,A,141.86,material_7,material_8,9,5,8,8,9,17.758,12.559,17.249,16.249,11.387,17.934,10.534,16.173,19.278,10.99,16.048,17.927,10.436,14.736,593.463,0
2251,2251,A,122.27,material_7,material_8,9,5,3,1,7,18.538,10.939,17.326,19.451,12.822,19.681,10.038,16.843,16.736,14.029,16.042,16.358,14.756,17.694,830.792,0
2253,2253,A,179.43,material_7,material_8,9,5,5,7,4,18.639,10.658,17.977,17.702,11.26,21.496,10.793,16.234,21.456,12.314,16.469,17.07,16.165,15.098,919.681,1
2255,2255,A,120.17,material_7,material_8,9,5,9,2,4,17.823,12.494,17.389,19.021,11.306,18.396,12.173,15.675,19.441,13.695,16.663,16.688,15.257,13.328,707.744,0
2256,2256,A,122.98,material_7,material_8,9,5,11,5,6,19.449,11.846,16.942,17.752,11.583,20.315,12.736,13.383,21.701,13.082,15.205,15.904,17.569,21.18,794.196,1
2257,2257,A,200.98,material_7,material_8,9,5,13,7,4,18.252,11.525,17.543,16.088,12.512,18.519,10.592,16.838,17.481,12.632,14.618,15.065,15.153,14.46,664.886,0
2259,2259,A,221.48,material_7,material_8,9,5,15,4,6,17.091,12.434,15.543,17.11,11.612,19.365,14.184,16.369,18.946,11.509,15.862,14.815,13.764,17.791,629.839,0
2262,2262,A,95.95,material_7,material_8,9,5,7,1,4,17.552,12.975,16.775,17.352,11.134,19.142,11.451,17.384,18.234,8.856,15.926,14.528,14.718,16.215,687.904,0
2263,2263,A,141.76,material_7,material_8,9,5,9,8,5,18.559,12.262,16.634,19.612,9.526,18.177,10.719,14.75,21.45,12.161,17.423,18.244,14.782,13.233,614.605,0
2264,2264,A,96.29,material_7,material_8,9,5,12,3,3,18.472,12.453,18.025,16.355,10.427,19.077,12.073,15.361,18.749,12.414,15.77,14.3,13.884,17.471,705.177,0
2265,2265,A,115.91,material_7,material_8,9,5,14,1,1,18.552,10.467,19.582,17.055,11.277,19.145,11.566,15.855,18.577,9.543,16.263,17.572,15.35,14.176,814.98,0
2267,2267,A,159.73,material_7,material_8,9,5,11,4,3,18.933,11.083,18.852,16.52,11.231,19.226,11.888,15.902,17.648,13.513,14.981,14.128,15.968,17.328,770.798,0
2269,2269,A,126.26,material_7,material_8,9,5,18,6,8,16.209,11.655,15.914,16.478,13.453,18.858,12.415,15.962,20.478,15.371,15.073,15.698,17.323,19.439,629.701,0
2271,2271,A,67.85,material_7,material_8,9,5,6,4,6,16.618,10.766,17.38,18.606,10.944,18.66,12.159,17.384,20.986,12.168,16.818,15.56,17.426,15.31,682.381,0
2272,2272,A,156.91,material_7,material_8,9,5,4,2,10,19.591,11.35,17.19,18.973,12.538,19.87,10.767,16.052,20.602,12.013,13.579,18.784,13.29,16.986,822.605,0
2273,2273,A,93.23,material_7,material_8,9,5,13,3,4,17.995,10.49,17.288,15.654,12.746,18.065,12.506,14.339,17.854,12.555,15.454,14.616,13.586,16.581,592.641,0
2274,2274,A,99.51,material_7,material_8,9,5,13,3,2,17.56,9.748,15.603,18.596,12.459,19.038,11.089,16.353,20.586,9.664,15.38,15.573,16.397,14.83,629.674,0
2276,2276,A,85.79,material_7,material_8,9,5,9,6,9,17.563,12.86,16.743,17.865,12.807,18.687,12.055,15.515,19.606,12.906,14.764,17.254,12.337,16.956,705.465,0
2278,2278,A,116.19,material_7,material_8,9,5,15,2,6,16.245,10.821,16.799,18.268,11.61,18.909,11.739,16.067,19.054,9.227,14.454,12.639,12.973,13.724,676.475,1
2280,2280,A,125.57,material_7,material_8,9,5,19,2,2,17.978,12.751,16.348,17.203,12.1,19.443,12.296,16.197,19.599,14.802,14.064,17.194,13.236,18.457,702.564,0
2283,2283,A,205.97,material_7,material_8,9,5,7,2,5,18.789,10.719,18.039,17.501,11.006,19.36,10.521,16.07,21.788,10.974,14.955,16.487,14.476,16.128,748.002,0
2284,2284,A,105.64,material_7,material_8,9,5,10,5,6,17.266,11.22,18.201,16.083,11.415,20.17,11.488,16.595,16.542,14.724,15.345,16.266,15.74,19.021,799.487,0
2285,2285,A,125.79,material_7,material_8,9,5,16,4,4,17.677,11.167,18.114,18.613,10.945,17.341,11.497,15.061,21.628,9.396,16.43,19.77,14.899,14.765,631.712,1
